iter	Passed	Remaining
0	157	157569
1	158	79121
2	159	52945
3	160	39844
4	160	31975
5	161	26725
6	161	22968
7	162	20159
8	163	17969
9	163	16213
10	164	14777
11	164	13578
12	165	12590
13	166	11727
14	167	10978
15	167	10330
16	168	9759
17	169	9242
18	170	8778
19	170	8359
20	171	7979
21	171	7634
22	172	7319
23	172	7031
24	173	6767
25	174	6522
26	174	6295
27	175	6083
28	175	5886
29	176	5702
30	176	5531
31	177	5370
32	178	5219
33	178	5076
34	179	4942
35	180	4824
36	180	4709
37	181	4596
38	182	4489
39	182	4387
40	183	4289
41	183	4195
42	184	4108
43	185	4025
44	185	3945
45	186	3869
46	187	3794
47	187	3724
48	188	3656
49	189	3591
50	189	3530
51	190	3470
52	190	3412
53	191	3356
54	192	3302
55	192	3251
56	193	3206
57	194	3165
58	195	3121
59	196	3076
60	197	3032
61	197	2989
62	198	2948
63	198	2909
64	199	2870
65	200	2832
66	200	2796
67	201	2760
68	202	2726
69	202	2693
70	203	2662
71	204	2630
72	204	2599
73	205	2570
74	205	2540
75	206	2512
76	207	2484
77	207	2458
78	208	2432
79	209	2407
80	210	2383
81	210	2358
82	210	2330
83	211	2307
84	212	2284
85	212	2262
86	213	2240
87	214	2220
88	214	2199
89	215	2178
90	216	2158
91	216	2139
92	217	2120
93	218	2101
94	218	2082
95	219	2064
96	219	2046
97	220	2029
98	221	2012
99	221	1995
100	222	1978
101	223	1964
102	223	1949
103	224	1935
104	225	1920
105	226	1907
106	227	1895
107	227	1880
108	228	1866
109	229	1852
110	229	1838
111	230	1824
112	230	1811
113	231	1797
114	231	1784
115	232	1771
116	232	1757
117	233	1744
118	234	1732
119	234	1720
120	235	1708
121	235	1695
122	236	1683
123	236	1672
124	237	1660
125	238	1652
126	238	1642
127	239	1632
128	240	1622
129	240	1612
130	241	1601
131	242	1591
132	242	1581
133	243	1572
134	243	1562
135	244	1552
136	244	1543
137	245	1533
138	246	1524
139	246	1515
140	247	1506
141	247	1496
142	248	1488
143	249	1480
144	249	1471
145	250	1463
146	250	1455
147	251	1447
148	251	1439
149	252	1431
150	253	1424
151	254	1418
152	254	1411
153	255	1404
154	256	1396
155	256	1389
156	257	1383
157	258	1375
158	258	1368
159	259	1361
160	259	1353
161	260	1346
162	260	1339
163	261	1333
164	262	1326
165	262	1319
166	263	1313
167	263	1306
168	264	1300
169	265	1294
170	265	1287
171	266	1282
172	267	1276
173	268	1272
174	268	1267
175	269	1262
176	270	1257
177	271	1251
178	271	1246
179	272	1240
180	272	1234
181	273	1228
182	274	1223
183	274	1217
184	275	1213
185	276	1207
186	276	1202
187	277	1197
188	277	1192
189	278	1187
190	279	1182
191	279	1177
192	280	1172
193	280	1167
194	281	1162
195	282	1157
196	283	1154
197	283	1149
198	284	1145
199	285	1141
200	286	1137
201	287	1134
202	287	1130
203	288	1125
204	289	1121
205	289	1116
206	290	1112
207	290	1107
208	291	1103
209	292	1099
210	292	1094
211	293	1090
212	294	1086
213	294	1082
214	295	1077
215	295	1073
216	296	1069
217	297	1065
218	298	1062
219	298	1059
220	299	1056
221	300	1052
222	300	1048
223	301	1044
224	302	1041
225	303	1038
226	303	1034
227	304	1030
228	305	1027
229	305	1023
230	306	1019
231	306	1016
232	307	1012
233	308	1008
234	308	1005
235	309	1001
236	310	998
237	310	994
238	311	991
239	311	987
240	312	984
241	313	981
242	314	978
243	314	975
244	315	971
245	315	968
246	316	964
247	317	961
248	317	958
249	318	954
250	318	951
251	319	948
252	320	945
253	320	942
254	321	938
255	321	935
256	322	933
257	323	929
258	323	926
259	324	923
260	324	920
261	325	916
262	326	913
263	326	910
264	327	907
265	327	904
266	328	902
267	329	899
268	329	896
269	330	892
270	330	889
271	331	886
272	331	883
273	332	880
274	332	877
275	333	874
276	333	871
277	334	868
278	334	865
279	335	862
280	335	859
281	336	856
282	337	853
283	337	851
284	338	848
285	338	845
286	339	843
287	339	840
288	340	837
289	341	835
290	341	832
291	342	830
292	343	828
293	343	825
294	344	823
295	345	820
296	345	818
297	346	816
298	347	813
299	347	811
300	348	809
301	348	806
302	349	804
303	350	801
304	350	799
305	351	797
306	351	794
307	352	792
308	353	789
309	353	787
310	354	784
311	354	781
